index,tag,folder,category,result,reason
1,1girl,people,count_gender,确认,Wiki 明确描述画面中一位女性角色
2,solo,people,count_gender,确认,Wiki 明确描述画面中只有一个人物
3,long_hair,hair,hair_length,确认,核心含义是超过肩膀的头发长度
4,breasts,body,breast_chest,确认,核心对象是乳房这一胸部结构
5,looking_at_viewer,pose,gaze,确认,核心含义是角色对观众的视线方向
6,smile,expression,positive,确认,核心含义是愉悦的微笑表情
7,blush,expression,shy_blush,确认,核心含义是脸颊发红状态
8,open_mouth,face,mouth,确认,核心含义是嘴巴张开的形态
9,short_hair,hair,hair_length,确认,核心含义是未及肩的头发长度
10,shirt,clothes_main,shirt_top,确认,核心对象是穿在上半身的上衣
11,simple_background,background,background_plain,确认,核心含义是空旷无特征的简单背景
12,blue_eyes,face,eye_color,确认,核心含义是蓝色眼睛
13,long_sleeves,clothing_detail,sleeve_detail,确认,核心含义是覆盖至手腕的袖长
14,white_background,background,background_plain,确认,核心含义是白色背景
15,large_breasts,body,breast_chest,确认,核心含义是乳房大小
16,black_hair,hair,hair_color,确认,核心含义是黑色头发
17,blonde_hair,hair,hair_color,确认,核心含义是金黄色头发
18,skirt,clothes_main,skirt,确认,核心对象是从腰部垂下的半身裙
19,holding,action,holding,确认,Wiki 明确限定用手拿起可携带物品
20,multiple_girls,people,count_gender,确认,核心含义是多位女性角色
21,brown_hair,hair,hair_color,确认,核心含义是棕色头发
22,1boy,people,count_gender,确认,核心含义是一位男性角色
23,hair_ornament,head_accessories,themed_hair_ornament,确认并改名,核心对象是仅用于装饰头发的其他发饰
24,gloves,accessories,handwear,确认,核心对象是覆盖手部或手腕的手套
25,dress,clothes_main,dress,确认,核心对象是上身与裙摆连成一体的连衣裙
26,closed_mouth,face,mouth,确认,核心含义是嘴唇闭合的嘴部形态
27,red_eyes,face,eye_color,确认,核心含义是红色眼睛
28,hair_between_eyes,hair,bangs,确认,核心含义是垂在双眼之间的刘海
29,hat,head_accessories,hats_caps,确认,核心对象是泛指的帽子
30,animal_ears,animal_traits,animal_ears,确认,核心含义是角色具有真实或装饰性动物耳朵
31,bow,accessories,bows_ribbons,确认,核心对象是双环双尾的蝴蝶结
32,navel,body,torso_back,确认,核心对象是腹部中央的肚脐
33,original,copyright,letter_o,确认,Wiki 将其定义为不源自既有版权的原创作品来源
34,jewelry,jewelry_accessories,other_jewelry,修正,Wiki 是首饰总称而非宝石或胸针
35,thighhighs,legwear_footwear,stockings,确认,核心对象是覆盖脚到大腿的长袜
36,ribbon,accessories,bows_ribbons,确认,核心对象是用于绑扎的柔性细长丝带
37,jacket,outerwear_suits,jacket_coat,确认,核心对象是有袖的短款轻薄外套
38,2girls,people,count_gender,确认,核心含义是两个女性角色
39,cleavage,body,breast_chest,确认,核心对象是胸部之间形成的乳沟
40,very_long_hair,hair,hair_length,确认,核心含义是超过腰部的头发长度
41,bare_shoulders,body,torso_back,确认,核心含义是躯干上方肩部裸露而非某种具体服装
42,white_shirt,clothes_main,shirt_top,确认,核心对象是白色衬衫
43,sitting,pose,stationary_pose,确认,核心含义是臀部靠在支撑面上的坐姿
44,standing,pose,stationary_pose,确认,核心含义是由脚支撑的直立站姿
45,twintails,hair,hair_style,确认,核心含义是分成两束的双马尾发型
